Area	Popolazione	Superficie	Densita	Numero Comuni	Numero Province
Lombardia	10060574	23864	422	1506	12
Lazio	5879082	17232	341	378	5
Campania	5801692	13671	424	550	5
Sicilia	4999891	25832	194	390	9
Veneto	4905854	18345	267	563	7
Emilia Romagna	4459477	22453	199	328	9
Piemonte	4356406	25387	172	1181	8
Puglia	4029053	19541	206	257	6
Toscana	3729641	22987	162	273	10
Calabria	1947131	15222	128	404	5
Sardegna	1639591	24100	68	377	5
Liguria	1550640	5416	286	234	4
Marche	1525271	9401	162	228	5
Abruzzo	1311580	10832	121	305	4
Friuli Venezia Giulia	1215220	7924	153	215	4
Trentino-Alto Adige	1072276	13606	79	282	2
Umbria	882015	8464	104	92	2
Basilicata	562869	10073	56	131	2
Molise	305617	4461	69	136	2
Valle d'Aosta	125666	3261	39	74	1
Italia	60359546	302073	200	7904	107
Argentina	45195777				
